o,n,c,t
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
0,A,0,6
g,e,0,2
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
g,e,0,2
0,A,0,6
g,a,n,2
0,A,0,6
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,e,0,2
g,a,n,2
g,a,n,2
g,a,n,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
0,A,0,6
l,a,i,4
g,a,n,2
t,a,u,4
g,A,0,3
g,A,i,3
s,a,u,2
g,A,i,3
s,a,u,2
g,A,0,3
g,A,i,3
s,a,u,2
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
0,A,0,6
g,e,0,2
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
g,e,0,2
g,e,0,2
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
t,i,m,1
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,e,0,2
g,e,0,2
t,i,m,1
0,A,0,6
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
0,A,0,6
g,e,0,2
0,A,0,6
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
